arm,engine,effort,wall_s,input_tok,cache_write,cache_read,output_tok,reasoning_tok,total_tok,cost_est_usd,exit,notes
grok45,Grok 4.5,high,501.8,171405,,171008,299,12,171705,2.5756,0,"FLOOR reconstructed from ~/.grok/sessions (36 inference requests, 4.03M cached-read, 171K new input, ~36K est output at 2/0.5/6 $/MTok); the _meta row above is a context snapshot, ~24x understated"
sonnet5,Sonnet 5,high,986.8,202,380638,13567558,45190,,13993588,6.1761,0,list price; intro $2/$10 per MTok through 2026-08-31
opus5,Opus 5,high,1197.9,266,420463,38001001,49911,,38471641,22.8775,0,model=claude-opus-5
gpt56,GPT-5.6 Sol,high,2899.8,25515211,,24623616,54424,16490,25569635,18.4025,0,auth=chatgpt-account;slug=gpt-5.6-sol
kimi,Kimi K3,high,2729.6,606081,0,43395072,67176,,44068329,15.8444,0,"via=kimi_proxy2:8789;openrouter=moonshotai/kimi-k3; CLI model string only sets the CLI's own context/cost assumptions - the proxy rewrites every upstream call to kimi-k3. Must name a 1M-context model: kimi-k3 has 1M, but under claude-opus-4-8 the CLI assumed 200K and died on autocompact thrashing."
fable5,Fable 5,high,988.9,202,367014,24861571,44097,,25272884,31.6561,0,model=claude-fable-5
opus48,Opus 4.8,high,1046.2,125,260499,11999336,41988,,12301948,8.6781,0,model=claude-opus-4-8
dsv4flash,DeepSeek V4-Flash,high,930.9,1308532,0,7287808,25423,,8621763,0.3944,0,via=kimi_proxy2:8787;upstream=OR:deepseek/deepseek-v4-flash;billing=token-estimate-at-0.14/0.028/0.28-per-MTok (credits-delta cross-check done manually because two arms share the account window); CLI model string only sets the CLI's context assumption and MUST carry the [1m] suffix - bare claude-opus-5 now maps to 200K and the first run died on autocompact thrashing at 195K (2026-07-31); the proxy rewrites every upstream call to deepseek-v4-flash (1M ctx); VERSION: resolved to April snapshot deepseek-v4-flash-20260423 (base OR slug; the Jul 31 revision is a separate -0731 id; benched 2026-08-01)
gpt56luna,GPT-5.6 Luna,max,3856.6,49585564,,48154368,124554,55016,49710118,1.3988,0,auth=chatgpt-account;slug=gpt-5.6-luna;official-list-rates-post-20260730-cut; EXACT not floor: the Codex CLI pins context at 258400 tokens; below the 272K long-context surcharge line; zero surcharged requests verified per-request from session rollouts 2026-08-01
gpt56lunahigh,GPT-5.6 Luna (high),high,781.2,7694566,,7351552,25321,7992,7719887,0.246,0,"auth=chatgpt-account;slug=gpt-5.6-luna;official-list-rates-post-20260730-cut; the effort=high companion arm to gpt56luna(max), added 2026-07-31 for apples-to-apples with the effort-high board"
gpt56r2,GPT-5.6 Sol (re-run),high,1772.7,20207911,,19587584,48738,16906,20256649,14.3576,0,"auth=chatgpt-account;slug=gpt-5.6-sol; re-run 2026-07-31 after OpenAI serving improvements (list price unchanged) - fresh wall/cost/fixes replace the 07-26 row on cards, old run stays in receipts"
grok45max,Grok 4.5 (max),max,1.2,0,,0,0,0,0,,1,"VOID(false start: two concurrent grok CLI processes raced on auth.json and wiped credentials; device re-login, rerun below); SNAPSHOT-not-bill;reconstruct-from-sessions;slug=grok-4.5;effort=max companion to grok45(high), added 2026-07-31"
opus5max,Opus 5 (max),max,1572.5,3035,493593,43641100,65368,,44203096,26.5549,0,"model=claude-opus-5;effort=max companion to opus5(high), added 2026-07-31"
gpt56solmax,GPT-5.6 Sol (max),max,4776.5,54666810,,53349632,127394,50818,54794204,37.0825,0,"auth=chatgpt-account;slug=gpt-5.6-sol;effort=max companion to gpt56/gpt56r2(high), added 2026-07-31"
grok45max,Grok 4.5 (max),max,669.5,167834,,165120,279,18,168114,4.418,0,"FLOOR reconstructed from ~/.grok/sessions (3 sessions, 70 requests, 4.0M cached-read, rates 2/0.5/6 $/MTok); SNAPSHOT-not-bill;reconstruct-from-sessions;slug=grok-4.5;effort=max companion to grok45(high), added 2026-07-31"
fable5max,Fable 5 (max),max,1972.3,330,510018,54938062,85863,,55534273,65.6097,0,"model=claude-fable-5;effort=max companion to fable5(high), added 2026-08-01"
dsv4pro,DeepSeek V4-Pro,high,876.6,1182360,0,6033664,21862,,7237886,0.5552,0,"via=kimi_proxy2:8790;upstream=OR:deepseek/deepseek-v4-pro;billing=token-estimate-at-OR-list (0.435/0.003625/0.87 per MTok, credits-delta cross-check); PRIVATE comparison arm vs dsv4flash (Pawel 2026-08-01, no card/no post); model string carries [1m] per the dsv4flash lesson (bare claude-opus-5 = 200K assumption, autocompact thrash); REAL-BILL $5.54 credits-delta for BOTH legs combined vs $1.26 token-estimate: cache-read billed at ~$0.36/M (near full input rate) - the OR-listed $0.003625/M cache discount did NOT materialize for v4-pro (v4-flash's did, to the cent); treat cost_est as understated ~4.4x"
dsv4flash0731,DeepSeek V4-Flash 0731,high,1841.0,7673989,0,19717696,46663,,27438348,1.1426,0,"via=kimi_proxy2:8791;upstream=OR:deepseek/deepseek-v4-flash-0731 (the Jul 31 re-post-trained revision, providers serve deepseek-v4-flash-20260731); the ORIGINAL dsv4flash arm resolved to the base slug = APRIL snapshot 20260423 (endpoints API verified 2026-08-01) - this arm is the actual new model; billing=token-estimate at OR list (0.14/0.0028/0.28), credits-delta canonical (v4-pro lesson: listed cache discount may not be honored); REAL-BILL both legs combined $1.52 credits-delta vs $1.74 estimate - cache pricing roughly honored for -0731 (unlike v4-pro)"
