arm,engine,effort,wall_s,input_tok,cache_write,cache_read,output_tok,reasoning_tok,total_tok,cost_est_usd,exit,notes
fable5,Fable 5,high,891.3,173,491798,27588849,53606,,28134426,36.4184,0,model=claude-fable-5
grok45,Grok 4.5,high,990.4,191839,,191744,423,15,192263,,0,SNAPSHOT-not-bill;reconstruct-from-sessions;slug=grok-4.5
opus48,Opus 4.8,high,1046.7,154,262013,14976043,61633,,15299843,10.6672,0,model=claude-opus-4-8
gpt56,GPT-5.6 Sol,high,1316.6,16793471,,16461568,29074,8515,16822545,10.7625,0,auth=chatgpt-account;slug=gpt-5.6-sol
kimi,Kimi K3,high,3738.8,330381,0,24153344,79177,,24562902,9.4248,0,via=kimi_proxy2:8789;openrouter=moonshotai/kimi-k3
opus5,Opus 5,high,1042.1,230,312074,24928312,58885,,25299501,15.8879,0,model=claude-opus-5
dsv4flash,DeepSeek V4-Flash,high,217.9,195849,0,88832,1363,,286044,0.0303,1,VOID(autocompact-thrash: bare claude-opus-5 mapped to 200K); via=kimi_proxy2:8788;upstream=OR:deepseek/deepseek-v4-flash;billing=token-estimate-at-0.14/0.028/0.28-per-MTok (credits-delta cross-check done manually because two arms share the account window); CLI model string claude-opus-5 only sets the CLI's 1M context assumption - the proxy rewrites every upstream call to deepseek-v4-flash (1M ctx); VERSION: resolved to April snapshot deepseek-v4-flash-20260423 (base OR slug; the Jul 31 revision is a separate -0731 id; benched 2026-08-01)
dsv4flash,DeepSeek V4-Flash,high,561.8,601555,0,4164352,44080,,4809987,0.2132,0,via=kimi_proxy2:8787;upstream=OR:deepseek/deepseek-v4-flash;billing=token-estimate-at-0.14/0.028/0.28-per-MTok (credits-delta cross-check done manually because two arms share the account window); CLI model string only sets the CLI's context assumption and MUST carry the [1m] suffix - bare claude-opus-5 now maps to 200K and the first run died on autocompact thrashing at 195K (2026-07-31); the proxy rewrites every upstream call to deepseek-v4-flash (1M ctx); VERSION: resolved to April snapshot deepseek-v4-flash-20260423 (base OR slug; the Jul 31 revision is a separate -0731 id; benched 2026-08-01)
gpt56luna,GPT-5.6 Luna,max,1287.8,14626911,,14332416,43864,21636,14670775,0.3982,0,auth=chatgpt-account;slug=gpt-5.6-luna;official-list-rates-post-20260730-cut; wall+usage reconstructed from raw stream after harness parser crash (codex 26.727 bare-string json lines); prepared copy salvaged after AV-lock swap failure - npm ci and health checks all passed
gpt56lunahigh,GPT-5.6 Luna (high),high,3063.8,10558333,,10157056,32860,11729,10591193,0.3228,0,"auth=chatgpt-account;slug=gpt-5.6-luna;official-list-rates-post-20260730-cut; the effort=high companion arm to gpt56luna(max), added 2026-07-31 for apples-to-apples with the effort-high board"
gpt56r2,GPT-5.6 Sol (re-run),high,42.4,65346,,57344,1169,490,66515,0.1038,0,"VOID(salvaged staging was a husk - prior failed cleanup had part-deleted it; agent saw empty repo); auth=chatgpt-account;slug=gpt-5.6-sol; re-run 2026-07-31 after OpenAI serving improvements (list price unchanged) - fresh wall/cost/fixes replace the 07-26 row on cards, old run stays in receipts"
gpt56r2,GPT-5.6 Sol (re-run),high,2227.2,30958043,,30375680,48827,18440,31006870,19.5645,0,"auth=chatgpt-account;slug=gpt-5.6-sol; re-run 2026-07-31 after OpenAI serving improvements (list price unchanged) - fresh wall/cost/fixes replace the 07-26 row on cards, old run stays in receipts"
grok45max,Grok 4.5 (max),max,1.4,0,,0,0,0,0,,1,"VOID(false start: two concurrent grok CLI processes raced on auth.json and wiped credentials; device re-login, rerun below); SNAPSHOT-not-bill;reconstruct-from-sessions;slug=grok-4.5;effort=max companion to grok45(high), added 2026-07-31"
opus5max,Opus 5 (max),max,2025.8,247,466402,39223728,90100,,39780477,24.7806,0,"model=claude-opus-5;effort=max companion to opus5(high), added 2026-07-31"
grok45max,Grok 4.5 (max),max,854.0,210713,,210432,312,16,211026,6.5176,0,"FLOOR reconstructed from ~/.grok/sessions (3 sessions, 85 requests, 5.75M cached-read, rates 2/0.5/6 $/MTok); SNAPSHOT-not-bill;reconstruct-from-sessions;slug=grok-4.5;effort=max companion to grok45(high), added 2026-07-31"
gpt56solmax,GPT-5.6 Sol (max),max,5051.3,45996849,,44670976,118876,48441,46115725,32.5311,0,"auth=chatgpt-account;slug=gpt-5.6-sol;effort=max companion to gpt56/gpt56r2(high), added 2026-07-31"
fable5max,Fable 5 (max),max,1462.7,161,546394,28043465,80013,,28670033,38.8757,0,"model=claude-fable-5;effort=max companion to fable5(high), added 2026-08-01"
